video_id,actor_id,actor_type,activity,start_time_s,end_time_s,duration_s,confidence,source_camera,attributes
vid_demo_cam3,person_1,human,WALK,0.7064997981429149,15.004709998654286,14.298210200511372,0.7,cam3,{}
vid_demo_cam3,person_2,human,WAIT,0.7737854932041448,15.004709998654286,14.230924505450142,0.7,cam3,{}
vid_demo_cam3,person_5,human,WALK,2.758713497510429,15.004709998654286,12.245996501143857,0.7,cam3,{}
vid_demo_cam3,person_7,human,WALK,4.037141703673799,15.004709998654286,10.967568294980486,0.7,cam3,{}
vid_demo_cam3,person_8,human,WALK,4.575427264163639,15.004709998654286,10.429282734490647,0.7,cam3,{}
vid_demo_cam3,person_9,human,WALK,5.685641232673934,15.004709998654286,9.319068765980353,0.7,cam3,{}
vid_demo_cam3,truck_10,truck,DRIVE,6.223926793163773,15.004709998654286,8.780783205490513,0.7,cam3,{}
